epoch,epoch_loss,epoch_acc,timestamp
0,0.6752826571464539,0.620192289352417,2025-02-27 08:28:39
1,0.6455308794975281,0.6580528616905212,2025-02-27 08:29:31
2,0.7385128140449524,0.6580528616905212,2025-02-27 08:30:23
3,0.6345020532608032,0.620192289352417,2025-02-27 08:31:16
4,0.5575563311576843,0.7007211446762085,2025-02-27 08:32:09
5,0.5230125188827515,0.7722355723381042,2025-02-27 08:33:01
6,0.49990636110305786,0.7902644276618958,2025-02-27 08:33:53
7,0.3920716643333435,0.809495210647583,2025-02-27 08:34:45
8,0.5854473114013672,0.7289663553237915,2025-02-27 08:35:37
9,0.28195324540138245,0.895432710647583,2025-02-27 08:36:29
10,0.22630411386489868,0.9116586446762085,2025-02-27 08:37:25
11,0.2171573042869568,0.917067289352417,2025-02-27 08:38:18
12,0.14476634562015533,0.940504789352417,2025-02-27 08:39:11
13,0.10837259888648987,0.9567307829856873,2025-02-27 08:40:04
14,0.09233810752630234,0.9627403616905212,2025-02-27 08:40:56
15,0.1953672468662262,0.9050480723381042,2025-02-27 08:41:48
16,0.18578559160232544,0.9194711446762085,2025-02-27 08:42:40
17,0.09146001189947128,0.9627403616905212,2025-02-27 08:43:35
18,0.016215523704886436,0.9957932829856873,2025-02-27 08:44:28
19,0.007793556433171034,0.996995210647583,2025-02-27 08:45:20
20,0.004059753846377134,0.9981971383094788,2025-02-27 08:46:12
21,0.0032800687476992607,0.9993990659713745,2025-02-27 08:47:04
22,0.006998805329203606,0.9981971383094788,2025-02-27 08:47:56
23,0.003767426358535886,0.9987980723381042,2025-02-27 08:48:49
24,0.0011118431575596333,1.0,2025-02-27 08:49:41
25,0.0021728549618273973,0.9993990659713745,2025-02-27 08:50:34
26,0.0026144608855247498,0.9987980723381042,2025-02-27 08:51:26
27,0.0019773428793996572,1.0,2025-02-27 08:52:18
28,0.0004821696784347296,1.0,2025-02-27 08:53:10
29,0.0003438377461861819,1.0,2025-02-27 08:54:02
