epoch,epoch_loss,epoch_acc,timestamp
0,0.6506463885307312,0.6446561217308044,2025-02-24 17:00:27
1,0.6535793542861938,0.6405788064002991,2025-02-24 17:01:01
2,0.6521444320678711,0.646403431892395,2025-02-24 17:01:35
3,0.6505962014198303,0.6452385783195496,2025-02-24 17:02:08
4,0.6547262072563171,0.6434911489486694,2025-02-24 17:02:42
5,0.6496519446372986,0.6446561217308044,2025-02-24 17:03:15
6,0.6461479663848877,0.6423262357711792,2025-02-24 17:03:48
7,0.6444105505943298,0.6434911489486694,2025-02-24 17:04:22
8,0.6179782152175903,0.6434911489486694,2025-02-24 17:04:55
9,0.5536001324653625,0.7215051651000977,2025-02-24 17:05:28
10,0.5352509617805481,0.7419378757476807,2025-02-24 17:06:02
11,0.49518120288848877,0.7670673131942749,2025-02-24 17:06:35
12,0.4716574549674988,0.7935650944709778,2025-02-24 17:07:09
13,0.45678383111953735,0.7971893548965454,2025-02-24 17:07:42
14,0.458871990442276,0.7995192408561707,2025-02-24 17:08:16
15,0.4142676889896393,0.820608377456665,2025-02-24 17:08:49
16,0.4018813669681549,0.8277459740638733,2025-02-24 17:09:22
17,0.35931098461151123,0.8481231331825256,2025-02-24 17:09:55
18,0.3126782774925232,0.8792991638183594,2025-02-24 17:10:28
19,0.38060644268989563,0.8624722361564636,2025-02-24 17:11:01
20,0.25585633516311646,0.8894970417022705,2025-02-24 17:11:35
21,0.3101504445075989,0.8679178953170776,2025-02-24 17:12:08
22,0.2021656185388565,0.9195635914802551,2025-02-24 17:12:41
23,0.17903302609920502,0.9303808808326721,2025-02-24 17:13:15
24,0.14067342877388,0.9466068744659424,2025-02-24 17:13:49
25,0.1580386906862259,0.9393583536148071,2025-02-24 17:14:23
26,0.09309245645999908,0.9669840931892395,2025-02-24 17:14:56
27,0.1250077784061432,0.9513406157493591,2025-02-24 17:15:29
28,0.07332126051187515,0.971754789352417,2025-02-24 17:16:03
29,0.06118575483560562,0.973557710647583,2025-02-24 17:16:38
30,0.04555767402052879,0.9807876944541931,2025-02-24 17:17:11
31,0.02916911616921425,0.9915865659713745,2025-02-24 17:17:45
32,0.045337364077568054,0.9807876944541931,2025-02-24 17:18:18
33,0.04635816439986229,0.9819896221160889,2025-02-24 17:18:53
34,0.061519235372543335,0.9777644276618958,2025-02-24 17:19:26
35,0.011479850858449936,0.9987980723381042,2025-02-24 17:20:00
36,0.010252438485622406,0.995192289352417,2025-02-24 17:20:34
37,0.013416712172329426,0.9958117604255676,2025-02-24 17:21:07
38,0.00866010133177042,0.9975961446762085,2025-02-24 17:21:40
39,0.002006690949201584,0.9993990659713745,2025-02-24 17:22:14
40,0.00423261895775795,0.9976146221160889,2025-02-24 17:22:48
41,0.03713277354836464,0.9885817170143127,2025-02-24 17:23:21
42,0.011478072963654995,0.9963942170143127,2025-02-24 17:23:53
43,0.006280608009546995,0.9981971383094788,2025-02-24 17:24:26
44,0.02361520752310753,0.9909855723381042,2025-02-24 17:24:59
45,0.0051154568791389465,0.9981971383094788,2025-02-24 17:25:32
46,0.006915054749697447,0.996995210647583,2025-02-24 17:26:05
47,0.00781499594449997,0.9964126944541931,2025-02-24 17:26:38
48,0.005538524128496647,0.9975961446762085,2025-02-24 17:27:11
49,0.0013299130368977785,1.0,2025-02-24 17:27:44
