epoch,epoch_loss,epoch_acc,timestamp
0,0.6531124114990234,0.6580528616905212,2025-02-25 18:58:39
1,0.6414619088172913,0.6580528616905212,2025-02-25 19:02:19
2,0.6040506362915039,0.6947115659713745,2025-02-25 19:05:59
3,0.5130246877670288,0.7614182829856873,2025-02-25 19:09:40
4,0.4381769001483917,0.8167067170143127,2025-02-25 19:13:20
5,0.39999765157699585,0.8473557829856873,2025-02-25 19:17:01
6,0.3637130558490753,0.8443509340286255,2025-02-25 19:20:41
7,0.2901650667190552,0.8828125,2025-02-25 19:24:21
8,0.35077181458473206,0.8551682829856873,2025-02-25 19:28:02
9,0.3161225914955139,0.8707932829856873,2025-02-25 19:31:42
10,1.7360457181930542,0.4849759638309479,2025-02-25 19:35:22
11,0.2874715030193329,0.8707932829856873,2025-02-25 19:39:02
12,0.21710826456546783,0.9116586446762085,2025-02-25 19:42:42
13,0.3130793571472168,0.8413461446762085,2025-02-25 19:46:23
14,0.1900072693824768,0.9362980723381042,2025-02-25 19:50:03
15,0.17615175247192383,0.9362980723381042,2025-02-25 19:53:44
16,0.10934074223041534,0.9519230723381042,2025-02-25 19:57:24
17,0.06408658623695374,0.9783653616905212,2025-02-25 20:01:04
18,0.1183454692363739,0.9537259340286255,2025-02-25 20:04:45
19,0.03686435520648956,0.9885817170143127,2025-02-25 20:08:25
20,0.05760854110121727,0.9783653616905212,2025-02-25 20:12:05
21,0.11177552491426468,0.9519230723381042,2025-02-25 20:15:46
22,0.08184205740690231,0.9711538553237915,2025-02-25 20:19:26
23,0.04450899362564087,0.9855769276618958,2025-02-25 20:23:07
24,0.019899733364582062,0.9945913553237915,2025-02-25 20:26:49
25,0.016703585162758827,0.9963942170143127,2025-02-25 20:30:30
26,0.0026229850482195616,1.0,2025-02-25 20:34:12
27,0.0018229529960080981,1.0,2025-02-25 20:37:53
28,0.00045353727182373405,1.0,2025-02-25 20:41:35
29,0.00027278377092443407,1.0,2025-02-25 20:45:17
